cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-01,0.0376,0.1183,0.0968,0.0914,0.1183,0.0753,0.0806,0.0914,0.0699,0.0753,0.1398,0.1022,0.1075,0.0591,0.0968,0.0968,0.0914,0.0699,0.0484,0.0699,0.0914,0.0753,0.0806,0.0968,0.0484,0.0806,0.086,0.0914,0.0806,0.0699,0.1022,0.0914,0.086,0.0753,0.1022,0.0968
2023-02,0.0904,0.0621,0.0508,0.0847,0.0565,0.0734,0.0452,0.1017,0.0847,0.0847,0.1243,0.0678,0.0339,0.096,0.0791,0.096,0.0791,0.0678,0.0734,0.113,0.0621,0.1582,0.0847,0.0508,0.0565,0.0621,0.0847,0.096,0.0452,0.0395,0.0621,0.113,0.096,0.1243,0.0791,
2023-03,0.0761,0.0508,0.0558,0.0457,0.0609,0.0558,0.0863,0.0558,0.0812,0.0761,0.0558,0.0558,0.0863,0.0558,0.0558,0.0558,0.066,0.0406,0.0508,0.0711,0.0914,0.0964,0.0609,0.0711,0.0761,0.0964,0.0711,0.0609,0.0812,0.0761,0.0406,0.0812,0.0812,0.0558,,
2023-04,0.0783,0.0599,0.0415,0.0507,0.106,0.0829,0.0691,0.1014,0.0507,0.0276,0.0415,0.0599,0.0645,0.0876,0.0599,0.0415,0.1014,0.0783,0.0599,0.0553,0.0783,0.0783,0.0507,0.0645,0.0599,0.0922,0.0415,0.0599,0.0645,0.0737,0.0507,0.1198,0.0922,,,
2023-05,0.1029,0.0784,0.0637,0.0735,0.0931,0.0588,0.1275,0.0882,0.0539,0.0833,0.0588,0.0637,0.0686,0.0784,0.0784,0.1029,0.0833,0.0784,0.0833,0.049,0.0441,0.0294,0.0539,0.0735,0.0686,0.0784,0.0637,0.0735,0.0686,0.0784,0.0882,0.1029,,,,
2023-06,0.0381,0.0619,0.0667,0.081,0.0619,0.0952,0.1,0.0619,0.0714,0.0762,0.0667,0.0952,0.0524,0.0619,0.0714,0.0619,0.0667,0.0952,0.0857,0.0762,0.1048,0.081,0.0667,0.0762,0.0762,0.0571,0.0714,0.0857,0.0714,0.1238,0.1048,,,,,
2023-07,0.0571,0.0762,0.0429,0.0571,0.0762,0.0762,0.0762,0.0857,0.0667,0.0333,0.0667,0.081,0.0333,0.0857,0.0571,0.0762,0.0905,0.081,0.0619,0.0524,0.0714,0.0381,0.0571,0.0476,0.0333,0.0524,0.0714,0.0429,0.0857,0.081,,,,,,
2023-08,0.0652,0.0652,0.0489,0.0543,0.0924,0.0652,0.0489,0.0489,0.0543,0.0652,0.038,0.0598,0.0598,0.087,0.0761,0.0924,0.0924,0.0598,0.0598,0.0543,0.0543,0.0815,0.0489,0.0652,0.0272,0.1033,0.087,0.0978,0.1033,,,,,,,
2023-09,0.0657,0.0808,0.096,0.0808,0.0758,0.0404,0.0404,0.0556,0.0657,0.0556,0.0404,0.096,0.1111,0.0909,0.0859,0.0707,0.0505,0.0758,0.0657,0.0606,0.0505,0.0505,0.0707,0.0606,0.0859,0.0556,0.0859,0.096,,,,,,,,
2023-10,0.0667,0.0821,0.0615,0.0462,0.0615,0.0872,0.0513,0.0359,0.0769,0.041,0.0667,0.0513,0.0923,0.1077,0.0615,0.0615,0.0359,0.0308,0.0769,0.0667,0.0513,0.0615,0.0718,0.0615,0.0462,0.0872,0.0769,,,,,,,,,
2023-11,0.1106,0.0913,0.0577,0.0962,0.0385,0.0721,0.0577,0.0769,0.0817,0.0865,0.0865,0.0577,0.0865,0.1154,0.0817,0.0577,0.0721,0.0673,0.0913,0.0433,0.0817,0.0577,0.0385,0.0865,0.1058,0.0769,,,,,,,,,,
2023-12,0.1111,0.0602,0.0972,0.0556,0.1019,0.088,0.0694,0.1065,0.0833,0.0787,0.0741,0.1065,0.1157,0.0602,0.0833,0.0648,0.0509,0.0741,0.0509,0.0833,0.1019,0.0694,0.1019,0.0648,0.1019,,,,,,,,,,,
2024-01,0.0582,0.0635,0.0635,0.037,0.0635,0.0635,0.0847,0.0741,0.0899,0.0635,0.0635,0.1217,0.0317,0.0476,0.0265,0.0529,0.0529,0.0635,0.0423,0.0794,0.0688,0.037,0.1323,0.0635,,,,,,,,,,,,
2024-02,0.061,0.0854,0.0427,0.0488,0.061,0.061,0.0549,0.0427,0.0549,0.0671,0.1037,0.0366,0.0793,0.0793,0.0366,0.0793,0.0732,0.0122,0.0793,0.061,0.0427,0.0732,0.1037,,,,,,,,,,,,,
2024-03,0.0927,0.039,0.0732,0.0439,0.0683,0.0732,0.0585,0.1024,0.1171,0.0634,0.0829,0.0683,0.0829,0.0537,0.0634,0.039,0.0585,0.0829,0.0829,0.0488,0.078,0.0829,,,,,,,,,,,,,,
2024-04,0.0385,0.0824,0.0495,0.0824,0.0879,0.0879,0.0824,0.1374,0.1154,0.0879,0.0824,0.0659,0.0495,0.1044,0.0934,0.0549,0.0714,0.0604,0.0714,0.1099,0.0714,,,,,,,,,,,,,,,
