customer_id,signup_date,gender,age,city,country,acquisition_channel,customer_segment
CUST100233,2023-02-08,Male,40,Toronto,Canada,Social Media,Budget
CUST100101,2023-01-17,Female,47,Dallas,Usa,Email,Premium
CUST103616,2024-07-10,Female,41,Houston,Usa,Direct,Premium
CUST100177,2023-01-30,Male,18,New York,Usa,Social Media,Mainstream
CUST104851,2025-01-25,Male,43,New York,Usa,Paid Search,Mainstream
CUST101623,2023-09-06,Female,33,Seattle,Usa,Paid Search,Budget
CUST103861,2024-08-14,Male,29,Calgary,Canada,Social Media,Mainstream
CUST101768,2023-09-28,Male,45,Chicago,Usa,Direct,Mainstream
CUST100592,2023-04-06,Male,50,Denver,Usa,Social Media,Mainstream
CUST105123,2025-03-11,Male,34,Montreal,Canada,Direct,Premium
CUST101436,2023-08-05,Female,56,Denver,Usa,Paid Search,Mainstream
CUST101084,2023-06-15,Male,35,San Diego,Usa,Organic Search,Premium
CUST106872,2025-12-12,Female,35,San Diego,Usa,Affiliate,Mainstream
CUST101181,2023-06-29,Female,44,Minneapolis,Usa,Social Media,Mainstream
CUST102407,2024-01-01,Male,32,Boston,Usa,Email,Mainstream
CUST105316,2025-04-08,Male,31,San Diego,Usa,Social Media,Budget
CUST102488,2024-01-12,Male,26,Dallas,Usa,Social Media,Budget
CUST104943,2025-02-11,Female,24,Dallas,Usa,Email,Mainstream
CUST103563,2024-07-03,Female,50,Chicago,Usa,Paid Search,Mainstream
CUST103855,2024-08-13,Female,48,Montreal,Canada,Paid Search,Premium
CUST104080,2024-09-16,Female,48,Houston,Usa,Email,Budget
CUST105770,2025-06-18,Female,44,Vancouver,Canada,Organic Search,Premium
CUST101223,2023-07-05,Male,46,Boston,Usa,Email,Mainstream
CUST105080,2025-03-04,Male,32,Atlanta,Usa,Referral,Mainstream
CUST105909,2025-07-09,Male,22,Montreal,Canada,Organic Search,Budget
CUST102572,2024-01-29,Female,42,San Diego,Usa,Paid Search,Premium
CUST102571,2024-01-29,Female,54,Minneapolis,Usa,Organic Search,Budget
CUST100263,2023-02-12,Female,37,Calgary,Canada,Paid Search,Budget
CUST104608,2024-12-14,Male,44,Portland,Usa,Social Media,Budget
CUST102464,2024-01-09,Male,23,Nashville,Usa,Direct,Budget
CUST101042,2023-06-10,Other/Undisclosed,48,Vancouver,Canada,Paid Search,Mainstream
CUST100733,2023-04-25,Male,43,Portland,Usa,Organic Search,Budget
CUST100585,2023-04-05,Male,52,Atlanta,Usa,Social Media,Premium
CUST103904,2024-08-20,Female,46,Minneapolis,Usa,Organic Search,Budget
CUST103197,2024-05-07,Female,19,Chicago,Usa,Social Media,Mainstream
CUST100245,2023-02-09,Male,28,New York,Usa,Affiliate,Mainstream
CUST106757,2025-11-22,Female,43,Minneapolis,Usa,Paid Search,Budget
CUST105849,2025-06-30,Female,41,Toronto,Canada,Paid Search,Budget
CUST106256,2025-09-04,Male,38,Austin,Usa,Organic Search,Mainstream
CUST101978,2023-11-01,Male,30,San Diego,Usa,Email,Budget
CUST102210,2023-12-04,Male,21,Atlanta,Usa,Direct,Mainstream
CUST100932,2023-05-24,Male,40,Boston,Usa,Paid Search,Budget
CUST103548,2024-06-30,Female,33,Vancouver,Canada,Email,Premium
CUST102291,2023-12-16,Male,32,Atlanta,Usa,Organic Search,Mainstream
CUST104739,2025-01-05,Female,35,Portland,Usa,Email,Mainstream
CUST105994,2025-07-21,Female,29,Nashville,Usa,Email,Budget
CUST104402,2024-11-07,Male,51,Phoenix,Usa,Referral,Premium
CUST101385,2023-07-30,Male,26,Dallas,Usa,Affiliate,Mainstream
CUST102173,2023-11-28,Female,26,New York,Usa,Referral,Mainstream
CUST100239,2023-02-09,Female,32,Nashville,Usa,Organic Search,Budget
CUST104740,2025-01-06,Female,22,Seattle,Usa,Direct,Budget
CUST100937,2023-05-25,Female,31,San Diego,Usa,Direct,Premium
CUST105746,2025-06-13,Female,35,Minneapolis,Usa,Social Media,Mainstream
CUST106123,2025-08-11,Male,44,Dallas,Usa,Paid Search,Mainstream
CUST101608,2023-09-04,Female,33,Calgary,Canada,Social Media,Premium
CUST101783,2023-10-01,Female,29,Unknown,Usa,Paid Search,Mainstream
CUST103558,2024-07-02,Male,25,Miami,Usa,Social Media,Premium
CUST104872,2025-01-28,Female,31,Nashville,Usa,Social Media,Mainstream
CUST100696,2023-04-20,Female,48,San Diego,Usa,Paid Search,Budget
CUST103256,2024-05-15,Male,36,Portland,Usa,Paid Search,Premium
CUST100927,2023-05-24,Female,32,Phoenix,Usa,Direct,Mainstream
CUST104338,2024-10-30,Male,27,Portland,Usa,Organic Search,Budget
CUST100842,2023-05-11,Male,52,Nashville,Usa,Social Media,Premium
CUST104871,2025-01-28,Female,40,Boston,Usa,Organic Search,Mainstream
CUST102266,2023-12-13,Female,36,Los Angeles,Usa,Social Media,Budget
CUST105244,2025-03-29,Male,46,Unknown,Usa,Social Media,Premium
CUST102316,2023-12-19,Female,22,Los Angeles,Usa,Paid Search,Budget
CUST100468,2023-03-16,Female,31,Seattle,Usa,Referral,Mainstream
CUST100037,2023-01-06,Male,37,Toronto,Canada,Organic Search,Premium
CUST101057,2023-06-12,Male,21,Houston,Usa,Referral,Premium
