campaign_id,campaign_date,channel,campaign_name,impressions,clicks,spend,conversions,attributed_revenue
CAMP0001,2023-09-13,Paid Search,Paid_Search_Sep2023_1,225470,8851,8336.99,424,25584.98
CAMP0002,2025-12-24,Email,Email_Dec2025_2,219475,1682,4879.29,143,11012.52
CAMP0003,2024-01-01,Social Media,Social_Media_Jan2024_3,30802,575,554.3,16,864.82
CAMP0004,2023-01-21,Paid Search,Paid_Search_Jan2023_4,323070,6453,13232.88,306,27979.26
CAMP0005,2024-01-22,Display,Display_Jan2024_5,91194,2179,6102.4,34,3207.01
CAMP0006,2024-04-04,Affiliate,Affiliate_Apr2024_6,229367,9765,14194.42,244,22529.98
CAMP0007,2024-10-15,Email,Email_Oct2024_7,310196,3775,5920.22,287,29836.91
CAMP0008,2024-04-14,Affiliate,Affiliate_Apr2024_8,242462,6096,7051.08,234,15679.76
CAMP0009,2023-11-09,Display,Display_Nov2023_9,55212,1897,3577.17,28,1769.98
CAMP0010,2025-02-20,Affiliate,Affiliate_Feb2025_10,296226,8215,9938.46,225,21970.55
CAMP0011,2025-04-05,Affiliate,Affiliate_Apr2025_11,334386,12081,35737.06,453,42330.29
CAMP0012,2025-01-05,Affiliate,Affiliate_Jan2025_12,260191,1582,2539.49,35,2520.98
CAMP0013,2023-12-03,Paid Search,Paid_Search_Dec2023_13,268998,9615,24096.7,454,43734.99
CAMP0014,2024-10-05,Display,Display_Oct2024_14,430015,12351,34181.4,101,5898.06
CAMP0015,2024-11-26,Paid Search,Paid_Search_Nov2024_15,252241,2089,3141.07,90,8723.51
CAMP0016,2023-09-01,Paid Search,Paid_Search_Sep2023_16,336675,8205,6856.92,427,23017.73
CAMP0017,2023-02-17,Email,Email_Feb2023_17,474083,19523,38967.95,1595,97260.08
CAMP0018,2024-09-03,Social Media,Social_Media_Sep2024_18,158240,6034,14730.94,136,7729.23
CAMP0019,2025-11-08,Display,Display_Nov2025_19,47286,1161,3496.46,12,1179.32
CAMP0020,2025-06-10,Paid Search,Paid_Search_Jun2025_20,430678,19236,22429.52,841,66475.23
CAMP0021,2024-01-27,Email,Email_Jan2024_21,401913,11313,23687.47,643,34123.49
CAMP0022,2023-03-20,Affiliate,Affiliate_Mar2023_22,177244,5761,16506.45,133,9144.38
CAMP0023,2023-04-05,Paid Search,Paid_Search_Apr2023_23,36283,421,845.91,24,1527.01
CAMP0024,2025-10-21,Paid Search,Paid_Search_Oct2025_24,131064,2396,4176.18,104,5551.48
CAMP0025,2025-10-25,Email,Email_Oct2025_25,121732,1548,5105.72,89,9105.53
CAMP0026,2024-05-07,Email,Email_May2024_26,419780,10874,18585.71,974,105206.92
CAMP0027,2023-07-05,Paid Search,Paid_Search_Jul2023_27,397488,13242,42021.19,682,56186.73
CAMP0028,2025-04-15,Social Media,Social_Media_Apr2025_28,207564,3411,11068.76,59,4598.44
