order_item_id,order_id,product_id,quantity,unit_price,discount,cost
ITEM0000000,ORD500000,PROD1126,1,212.95,0.0,123.68
ITEM0000001,ORD500000,PROD1140,1,98.1,0.0,58.22
ITEM0000002,ORD500000,PROD1107,1,132.2,0.0,90.01
ITEM0000003,ORD500000,PROD1179,1,185.55,0.0,130.52
ITEM0000004,ORD500001,PROD1041,2,296.46,0.0,194.03
ITEM0000005,ORD500001,PROD1055,1,71.81,0.0,39.3
ITEM0000006,ORD500002,PROD1147,3,56.65,0.0,37.71
ITEM0000007,ORD500003,PROD1102,2,204.96,0.0,120.07
ITEM0000008,ORD500004,PROD1041,1,296.46,0.0,194.03
ITEM0000009,ORD500004,PROD1111,1,212.9,0.0,125.86
ITEM0000010,ORD500005,PROD1043,1,27.72,0.0,18.66
ITEM0000011,ORD500006,PROD1132,1,77.58,0.072,51.25
ITEM0000012,ORD500007,PROD1095,2,110.92,0.194,66.98
ITEM0000013,ORD500007,PROD1119,1,115.39,0.197,69.28
ITEM0000014,ORD500008,PROD1159,1,12.52,0.0,5.47
ITEM0000015,ORD500009,PROD1095,1,110.92,0.0,66.98
ITEM0000016,ORD500009,PROD1160,1,64.71,0.0,34.19
ITEM0000017,ORD500010,PROD1258,1,128.51,0.0,91.1
ITEM0000018,ORD500011,PROD1119,1,115.39,0.0,69.28
ITEM0000019,ORD500012,PROD1179,1,185.55,0.0,130.52
ITEM0000020,ORD500013,PROD1160,1,64.71,0.154,34.19
ITEM0000021,ORD500013,PROD1001,1,89.0,0.159,64.36
ITEM0000022,ORD500013,PROD1043,1,27.72,0.162,18.66
ITEM0000023,ORD500013,PROD1175,1,122.04,0.168,73.22
ITEM0000024,ORD500014,PROD1245,2,39.81,0.0,14.05
ITEM0000025,ORD500015,PROD1080,2,84.99,0.0,32.53
ITEM0000026,ORD500015,PROD1107,1,132.2,0.0,90.01
ITEM0000027,ORD500016,PROD1080,3,84.99,0.0,32.53
ITEM0000028,ORD500016,PROD1023,1,101.06,0.0,55.88
ITEM0000029,ORD500017,PROD1077,1,132.84,0.0,92.74
ITEM0000030,ORD500017,PROD1247,1,276.76,0.0,188.22
ITEM0000031,ORD500018,PROD1208,2,49.51,0.0,28.65
ITEM0000032,ORD500019,PROD1007,1,260.61,0.0,155.39
ITEM0000033,ORD500020,PROD1234,3,273.87,0.0,207.15
ITEM0000034,ORD500021,PROD1204,1,54.71,0.238,26.85
ITEM0000035,ORD500022,PROD1012,1,214.85,0.0,144.61
ITEM0000036,ORD500022,PROD1194,1,157.0,0.0,87.34
ITEM0000037,ORD500023,PROD1258,1,128.51,0.0,91.1
ITEM0000038,ORD500024,PROD1249,3,79.75,0.0,45.09
ITEM0000039,ORD500025,PROD1160,1,64.71,0.15,34.19
ITEM0000040,ORD500026,PROD1107,2,132.2,0.0,90.01
ITEM0000041,ORD500027,PROD1139,3,297.03,0.0,189.95
ITEM0000042,ORD500027,PROD1054,1,11.68,0.0,4.71
ITEM0000043,ORD500027,PROD1067,1,71.76,0.0,33.06
ITEM0000044,ORD500027,PROD1001,2,89.0,0.0,64.36
ITEM0000045,ORD500028,PROD1258,1,128.51,0.0,91.1
ITEM0000046,ORD500028,PROD1055,1,71.81,0.0,39.3
ITEM0000047,ORD500028,PROD1004,2,58.14,0.0,31.95
ITEM0000048,ORD500028,PROD1211,1,58.9,0.0,35.5
ITEM0000049,ORD500029,PROD1015,1,118.79,0.235,78.84
ITEM0000050,ORD500030,PROD1001,2,89.0,0.0,64.36
ITEM0000051,ORD500030,PROD1175,1,122.04,0.0,73.22
ITEM0000052,ORD500031,PROD1249,1,79.75,0.0,45.09
ITEM0000053,ORD500032,PROD1087,1,150.99,0.0,123.62
ITEM0000054,ORD500033,PROD1111,1,212.9,0.208,125.86
ITEM0000055,ORD500034,PROD1003,1,88.29,0.0,51.62
ITEM0000056,ORD500035,PROD1095,1,110.92,0.0,66.98
ITEM0000057,ORD500036,PROD1126,1,212.95,0.27,123.68
ITEM0000058,ORD500036,PROD1191,1,42.59,0.262,25.57
ITEM0000059,ORD500037,PROD1003,1,88.29,0.0,51.62
ITEM0000060,ORD500038,PROD1193,1,119.7,0.0,72.01
ITEM0000061,ORD500039,PROD1259,1,77.67,0.0,40.1
ITEM0000062,ORD500040,PROD1051,1,111.06,0.0,71.48
ITEM0000063,ORD500040,PROD1015,3,118.79,0.0,78.84
ITEM0000064,ORD500041,PROD1080,1,84.99,0.0,32.53
ITEM0000065,ORD500042,PROD1196,2,16.21,0.0,10.82
ITEM0000066,ORD500043,PROD1118,1,126.87,0.0,80.55
ITEM0000067,ORD500043,PROD1183,1,124.96,0.0,72.53
ITEM0000068,ORD500044,PROD1177,1,324.5,0.0,237.76
ITEM0000069,ORD500045,PROD1031,1,61.68,0.0,43.2
ITEM0000070,ORD500045,PROD1243,1,235.5,0.0,171.94
ITEM0000071,ORD500045,PROD1127,1,60.63,0.0,28.56
ITEM0000072,ORD500045,PROD1171,1,145.08,0.0,100.63
ITEM0000073,ORD500046,PROD1049,1,54.38,0.0,37.0
ITEM0000074,ORD500047,PROD1085,1,73.03,0.0,40.21
ITEM0000075,ORD500048,PROD1059,1,38.65,0.0,24.43
ITEM0000076,ORD500049,PROD1232,1,34.28,0.123,12.56
ITEM0000077,ORD500049,PROD1015,1,118.79,0.134,78.84
ITEM0000078,ORD500050,PROD1001,1,89.0,0.0,64.36
ITEM0000079,ORD500051,PROD1258,1,128.51,0.0,91.1
ITEM0000080,ORD500052,PROD1001,1,89.0,0.231,64.36
ITEM0000081,ORD500053,PROD1119,1,115.39,0.157,69.28
ITEM0000082,ORD500053,PROD1001,1,89.0,0.147,64.36
ITEM0000083,ORD500054,PROD1189,1,129.55,0.0,78.32
ITEM0000084,ORD500054,PROD1200,1,106.04,0.0,65.01
ITEM0000085,ORD500054,PROD1155,1,78.32,0.0,30.86
ITEM0000086,ORD500055,PROD1090,1,149.74,0.0,86.87
ITEM0000087,ORD500056,PROD1192,2,20.9,0.0,11.73
ITEM0000088,ORD500057,PROD1167,1,16.48,0.052,7.59
ITEM0000089,ORD500058,PROD1002,1,21.73,0.0,10.77
ITEM0000090,ORD500059,PROD1079,1,207.51,0.143,124.51
ITEM0000091,ORD500059,PROD1214,1,132.49,0.118,89.61
ITEM0000092,ORD500060,PROD1102,1,204.96,0.0,120.07
ITEM0000093,ORD500061,PROD1148,3,52.95,0.0,30.0
ITEM0000094,ORD500062,PROD1012,1,214.85,0.0,144.61
ITEM0000095,ORD500063,PROD1232,1,34.28,0.0,12.56
ITEM0000096,ORD500063,PROD1214,1,132.49,0.0,89.61
ITEM0000097,ORD500064,PROD1127,2,60.63,0.0,28.56
ITEM0000098,ORD500065,PROD1196,1,16.21,0.0,10.82
ITEM0000099,ORD500066,PROD1184,1,16.83,0.0,6.54
ITEM0000100,ORD500066,PROD1205,1,138.63,0.0,97.89
ITEM0000101,ORD500066,PROD1230,1,138.35,0.0,90.75
ITEM0000102,ORD500067,PROD1111,2,212.9,0.197,125.86
ITEM0000103,ORD500068,PROD1216,1,260.5,0.0,155.12
ITEM0000104,ORD500069,PROD1076,3,166.97,0.0,101.38
ITEM0000105,ORD500069,PROD1167,1,16.48,0.0,7.59
ITEM0000106,ORD500070,PROD1177,1,324.5,0.0,237.76
ITEM0000107,ORD500070,PROD1071,1,166.35,0.0,120.46
ITEM0000108,ORD500071,PROD1049,1,54.38,0.15,37.0
ITEM0000109,ORD500071,PROD1068,1,72.86,0.166,32.5
ITEM0000110,ORD500072,PROD1218,1,89.62,0.0,48.47
ITEM0000111,ORD500072,PROD1068,1,72.86,0.0,32.5
ITEM0000112,ORD500073,PROD1080,1,84.99,0.104,32.53
ITEM0000113,ORD500074,PROD1119,1,115.39,0.0,69.28
ITEM0000114,ORD500075,PROD1096,1,123.0,0.0,71.44
ITEM0000115,ORD500075,PROD1068,2,72.86,0.0,32.5
ITEM0000116,ORD500076,PROD1114,1,287.03,0.0,203.07
ITEM0000117,ORD500077,PROD1153,1,111.18,0.0,78.23
ITEM0000118,ORD500077,PROD1126,1,212.95,0.0,123.68
ITEM0000119,ORD500078,PROD1203,1,111.22,0.0,78.47
ITEM0000120,ORD500079,PROD1059,1,38.65,0.0,24.43
ITEM0000121,ORD500080,PROD1001,3,89.0,0.0,64.36
ITEM0000122,ORD500080,PROD1043,1,27.72,0.0,18.66
ITEM0000123,ORD500080,PROD1147,1,56.65,0.0,37.71
ITEM0000124,ORD500081,PROD1165,1,66.91,0.0,45.89
ITEM0000125,ORD500082,PROD1238,1,85.0,0.0,39.2
ITEM0000126,ORD500083,PROD1235,1,56.93,0.0,33.36
ITEM0000127,ORD500084,PROD1175,1,122.04,0.0,73.22
ITEM0000128,ORD500085,PROD1233,2,237.4,0.115,169.18
ITEM0000129,ORD500085,PROD1023,1,101.06,0.1,55.88
ITEM0000130,ORD500086,PROD1079,1,207.51,0.232,124.51
ITEM0000131,ORD500086,PROD1195,1,41.23,0.269,17.79
ITEM0000132,ORD500087,PROD1079,1,207.51,0.0,124.51
ITEM0000133,ORD500088,PROD1012,1,214.85,0.0,144.61
ITEM0000134,ORD500089,PROD1152,1,86.17,0.0,21.54
ITEM0000135,ORD500090,PROD1033,2,185.77,0.0,136.62
ITEM0000136,ORD500091,PROD1160,2,64.71,0.0,34.19
ITEM0000137,ORD500091,PROD1071,1,166.35,0.0,120.46
ITEM0000138,ORD500092,PROD1080,1,84.99,0.0,32.53
ITEM0000139,ORD500093,PROD1115,2,126.42,0.0,78.99
ITEM0000140,ORD500094,PROD1235,1,56.93,0.0,33.36
ITEM0000141,ORD500095,PROD1196,1,16.21,0.0,10.82
ITEM0000142,ORD500095,PROD1165,1,66.91,0.0,45.89
ITEM0000143,ORD500095,PROD1122,1,35.66,0.0,21.69
ITEM0000144,ORD500096,PROD1101,1,249.58,0.058,171.72
ITEM0000145,ORD500096,PROD1140,1,98.1,0.055,58.22
ITEM0000146,ORD500097,PROD1079,1,207.51,0.0,124.51
ITEM0000147,ORD500098,PROD1249,1,79.75,0.0,45.09
ITEM0000148,ORD500098,PROD1126,1,212.95,0.0,123.68
ITEM0000149,ORD500099,PROD1235,1,56.93,0.199,33.36
ITEM0000150,ORD500100,PROD1156,1,174.1,0.0,104.2
ITEM0000151,ORD500100,PROD1001,1,89.0,0.0,64.36
ITEM0000152,ORD500100,PROD1217,1,57.69,0.0,42.32
ITEM0000153,ORD500101,PROD1051,1,111.06,0.203,71.48
ITEM0000154,ORD500102,PROD1232,2,34.28,0.0,12.56
ITEM0000155,ORD500103,PROD1167,1,16.48,0.0,7.59
ITEM0000156,ORD500104,PROD1122,1,35.66,0.049,21.69
ITEM0000157,ORD500105,PROD1158,3,53.08,0.097,28.81
ITEM0000158,ORD500106,PROD1179,1,185.55,0.106,130.52
ITEM0000159,ORD500106,PROD1003,2,88.29,0.128,51.62
ITEM0000160,ORD500107,PROD1189,1,129.55,0.0,78.32
ITEM0000161,ORD500108,PROD1244,1,19.63,0.0,10.91
ITEM0000162,ORD500108,PROD1068,1,72.86,0.0,32.5
ITEM0000163,ORD500109,PROD1026,1,23.52,0.0,14.56
ITEM0000164,ORD500110,PROD1205,2,138.63,0.065,97.89
ITEM0000165,ORD500111,PROD1224,1,256.54,0.0,206.79
ITEM0000166,ORD500111,PROD1079,2,207.51,0.0,124.51
ITEM0000167,ORD500112,PROD1235,2,56.93,0.0,33.36
ITEM0000168,ORD500112,PROD1080,1,84.99,0.0,32.53
ITEM0000169,ORD500113,PROD1021,1,78.92,0.127,36.18
ITEM0000170,ORD500114,PROD1255,1,130.19,0.0,78.58
ITEM0000171,ORD500115,PROD1206,1,159.99,0.0,98.27
ITEM0000172,ORD500116,PROD1015,1,118.79,0.0,78.84
ITEM0000173,ORD500117,PROD1239,1,29.99,0.0,19.28
ITEM0000174,ORD500117,PROD1096,1,123.0,0.0,71.44
ITEM0000175,ORD500118,PROD1089,1,170.93,0.0,85.65
ITEM0000176,ORD500119,PROD1179,1,185.55,0.0,130.52
ITEM0000177,ORD500119,PROD1046,1,100.8,0.0,42.46
ITEM0000178,ORD500119,PROD1255,2,130.19,0.0,78.58
ITEM0000179,ORD500120,PROD1176,3,130.28,0.0,101.93
ITEM0000180,ORD500120,PROD1107,1,132.2,0.0,90.01
ITEM0000181,ORD500121,PROD1158,1,53.08,0.0,28.81
ITEM0000182,ORD500122,PROD1224,1,256.54,0.0,206.79
ITEM0000183,ORD500122,PROD1001,1,89.0,0.0,64.36
ITEM0000184,ORD500123,PROD1259,1,77.67,0.021,40.1
ITEM0000185,ORD500124,PROD1191,1,42.59,0.056,25.57
ITEM0000186,ORD500125,PROD1160,1,64.71,0.0,34.19
ITEM0000187,ORD500126,PROD1046,1,100.8,0.206,42.46
ITEM0000188,ORD500127,PROD1136,1,28.54,0.0,18.95
ITEM0000189,ORD500128,PROD1113,1,59.98,0.0,27.21
ITEM0000190,ORD500128,PROD1229,2,170.46,0.0,120.67
ITEM0000191,ORD500129,PROD1152,1,86.17,0.146,21.54
ITEM0000192,ORD500129,PROD1020,1,70.97,0.147,40.09
ITEM0000193,ORD500130,PROD1210,1,103.45,0.0,54.61
ITEM0000194,ORD500130,PROD1235,1,56.93,0.0,33.36
ITEM0000195,ORD500130,PROD1058,1,61.33,0.0,33.92
ITEM0000196,ORD500131,PROD1022,1,29.86,0.0,13.27
ITEM0000197,ORD500132,PROD1179,1,185.55,0.059,130.52
ITEM0000198,ORD500132,PROD1207,1,31.62,0.055,20.07
ITEM0000199,ORD500133,PROD1159,1,12.52,0.0,5.47
ITEM0000200,ORD500134,PROD1167,2,16.48,0.0,7.59
ITEM0000201,ORD500135,PROD1011,1,213.7,0.0,132.8
ITEM0000202,ORD500136,PROD1239,1,29.99,0.0,19.28
ITEM0000203,ORD500137,PROD1245,1,39.81,0.0,14.05
ITEM0000204,ORD500138,PROD1167,1,16.48,0.0,7.59
ITEM0000205,ORD500138,PROD1098,1,36.0,0.0,15.42
ITEM0000206,ORD500138,PROD1043,1,27.72,0.0,18.66
ITEM0000207,ORD500139,PROD1175,2,122.04,0.0,73.22
ITEM0000208,ORD500140,PROD1185,2,120.57,0.063,87.81
ITEM0000209,ORD500141,PROD1012,1,214.85,0.0,144.61
ITEM0000210,ORD500142,PROD1029,2,83.11,0.205,39.89
ITEM0000211,ORD500142,PROD1222,1,141.48,0.174,84.89
ITEM0000212,ORD500143,PROD1031,2,61.68,0.194,43.2
ITEM0000213,ORD500144,PROD1164,1,100.79,0.0,70.25
ITEM0000214,ORD500145,PROD1008,1,150.9,0.179,85.71
ITEM0000215,ORD500146,PROD1256,2,158.14,0.0,121.91
ITEM0000216,ORD500147,PROD1255,2,130.19,0.0,78.58
ITEM0000217,ORD500148,PROD1218,1,89.62,0.0,48.47
ITEM0000218,ORD500149,PROD1147,1,56.65,0.0,37.71
ITEM0000219,ORD500150,PROD1079,3,207.51,0.0,124.51
ITEM0000220,ORD500151,PROD1001,1,89.0,0.27,64.36
ITEM0000221,ORD500151,PROD1076,1,166.97,0.261,101.38
ITEM0000222,ORD500152,PROD1071,1,166.35,0.0,120.46
ITEM0000223,ORD500153,PROD1080,1,84.99,0.0,32.53
ITEM0000224,ORD500154,PROD1165,2,66.91,0.0,45.89
ITEM0000225,ORD500154,PROD1107,1,132.2,0.0,90.01
ITEM0000226,ORD500154,PROD1189,1,129.55,0.0,78.32
ITEM0000227,ORD500155,PROD1103,1,168.41,0.0,94.87
ITEM0000228,ORD500155,PROD1094,1,19.08,0.0,11.56
ITEM0000229,ORD500155,PROD1106,1,68.34,0.0,37.68
ITEM0000230,ORD500156,PROD1087,3,150.99,0.0,123.62
ITEM0000231,ORD500157,PROD1042,1,21.16,0.0,11.14
ITEM0000232,ORD500157,PROD1060,1,33.31,0.0,21.99
ITEM0000233,ORD500158,PROD1072,1,37.9,0.215,23.13
ITEM0000234,ORD500158,PROD1237,1,190.21,0.186,136.68
