order_id,customer_id,order_date,order_status,sales_channel,shipping_cost,discount
ORD500000,CUST100257,2023-01-01 00:24:00,Completed,Marketplace,0.0,0.0
ORD500001,CUST102061,2023-01-01 02:05:00,Completed,Website,0.0,0.0
ORD500002,CUST105877,2023-01-01 02:25:00,Completed,Website,0.0,0.0
ORD500003,CUST106489,2023-01-01 02:47:00,Refunded,Marketplace,0.0,0.0
ORD500004,CUST103814,2023-01-01 02:53:00,Completed,Marketplace,0.0,0.0
ORD500005,CUST106020,2023-01-01 03:50:00,Completed,Marketplace,7.22,0.0
ORD500006,CUST106134,2023-01-01 09:11:00,Completed,Marketplace,0.0,0.0832774809403821
ORD500007,CUST102801,2023-01-01 10:05:00,Completed,Mobile App,0.0,0.2372653098064188
ORD500008,CUST105236,2023-01-01 10:17:00,Cancelled,Website,4.22,0.0
ORD500009,CUST102216,2023-01-01 12:23:00,Refunded,Website,0.0,0.0
ORD500010,CUST106423,2023-01-01 15:12:00,Completed,Marketplace,0.0,0.0
ORD500011,CUST101764,2023-01-01 15:51:00,Completed,Website,0.0,0.0
ORD500012,CUST105097,2023-01-01 15:56:00,Completed,Website,0.0,0.0
ORD500013,CUST103667,2023-01-01 15:59:00,Cancelled,Mobile App,0.0,0.1774657418375028
ORD500014,CUST104476,2023-01-01 17:54:00,Cancelled,Website,0.0,0.0
ORD500015,CUST102636,2023-01-01 19:26:00,Completed,Website,0.0,0.0
ORD500016,CUST102901,2023-01-01 19:42:00,Completed,Marketplace,0.0,0.0
ORD500017,CUST100550,2023-01-01 20:06:00,Completed,Website,0.0,0.0
ORD500018,CUST103506,2023-01-01 21:55:00,Cancelled,Website,0.0,0.0
ORD500019,CUST105188,2023-01-02 00:39:00,Completed,Website,0.0,0.0
ORD500020,CUST104220,2023-01-02 01:12:00,Refunded,Website,0.0,0.0
ORD500021,CUST106026,2023-01-02 02:16:00,Completed,Mobile App,11.65,0.2736469424684765
ORD500022,CUST104605,2023-01-02 02:18:00,Cancelled,Website,0.0,0.0
ORD500023,CUST104385,2023-01-02 04:00:00,Completed,Marketplace,0.0,0.0
ORD500024,CUST101822,2023-01-02 05:05:00,Completed,Marketplace,0.0,0.0
ORD500025,CUST105615,2023-01-02 08:46:00,Completed,Marketplace,0.0,0.1822840856821617
ORD500026,CUST101747,2023-01-02 10:10:00,Completed,Marketplace,0.0,0.0
ORD500027,CUST106123,2023-01-02 10:18:00,Cancelled,Mobile App,0.0,0.0
ORD500028,CUST103424,2023-01-02 11:02:00,Cancelled,Website,0.0,0.0
ORD500029,CUST103812,2023-01-02 11:46:00,Cancelled,Mobile App,0.0,0.2901663978970316
ORD500030,CUST100737,2023-01-02 11:46:00,Refunded,Website,0.0,0.0
ORD500031,CUST104296,2023-01-02 12:20:00,Completed,Website,0.0,0.0
ORD500032,CUST100148,2023-01-02 12:58:00,Cancelled,Mobile App,0.0,0.0
ORD500033,CUST106313,2023-01-02 14:17:00,Cancelled,Website,0.0,0.215006273386787
ORD500034,CUST104100,2023-01-02 14:30:00,Completed,Website,0.0,0.0
ORD500035,CUST103829,2023-01-02 14:35:00,Completed,Marketplace,0.0,0.0
ORD500036,CUST103068,2023-01-02 15:57:00,Completed,Mobile App,0.0,0.2938584239129927
ORD500037,CUST101445,2023-01-02 17:29:00,Refunded,Website,0.0,0.0
ORD500038,CUST103414,2023-01-03 00:45:00,Completed,Website,0.0,0.0
ORD500039,CUST101110,2023-01-03 01:48:00,Completed,Website,0.0,0.0
ORD500040,CUST104788,2023-01-03 02:15:00,Completed,Website,0.0,0.0
ORD500041,CUST104333,2023-01-03 03:41:00,Refunded,Website,0.0,0.0
ORD500042,CUST103340,2023-01-03 05:34:00,Refunded,Website,8.39,0.0
ORD500043,CUST102944,2023-01-03 08:07:00,Completed,Marketplace,0.0,0.0
ORD500044,CUST101928,2023-01-03 09:39:00,Completed,Website,0.0,0.0
ORD500045,CUST103295,2023-01-03 11:14:00,Completed,Website,0.0,0.0
ORD500046,CUST103701,2023-01-03 11:51:00,Completed,Website,0.0,0.0
ORD500047,CUST101848,2023-01-03 12:05:00,Completed,Marketplace,0.0,0.0
ORD500048,CUST105981,2023-01-03 13:43:00,Refunded,Website,2.24,0.0
ORD500049,CUST104284,2023-01-03 18:22:00,Cancelled,Mobile App,0.0,0.138630872290205
ORD500050,CUST102011,2023-01-03 19:41:00,Completed,Website,0.0,0.0
