payment_id,order_id,payment_date,payment_method,payment_status,payment_amount
PAY700000,ORD500000,2023-01-01 02:24:00,Debit Card,Success,628.8
PAY700001,ORD500001,2023-01-01 04:05:00,Credit Card,Success,664.73
PAY700002,ORD500002,2023-01-01 03:25:00,PayPal,Success,169.95
PAY700003,ORD500003,2023-01-01 07:47:00,Debit Card,Success,409.92
PAY700004,ORD500004,2023-01-01 04:53:00,PayPal,Success,509.36
PAY700005,ORD500005,2023-01-01 03:50:00,Buy Now Pay Later,Success,34.94
PAY700006,ORD500006,2023-01-01 09:11:00,Debit Card,Success,71.99
PAY700007,ORD500007,2023-01-01 14:05:00,PayPal,Success,271.46
PAY700008,ORD500008,2023-01-01 13:17:00,PayPal,Failed,16.74
PAY700009,ORD500009,2023-01-01 15:23:00,Credit Card,Success,175.63
PAY700010,ORD500010,2023-01-01 17:12:00,Credit Card,Success,128.51
PAY700011,ORD500011,2023-01-01 16:51:00,Credit Card,Success,115.39
PAY700012,ORD500012,2023-01-01 15:56:00,Credit Card,Success,185.55
PAY700013,ORD500013,2023-01-01 19:59:00,Debit Card,Failed,254.36
PAY700014,ORD500014,2023-01-01 20:54:00,Credit Card,Refunded,79.62
PAY700015,ORD500015,2023-01-01 20:26:00,PayPal,Success,302.18
PAY700016,ORD500016,2023-01-01 23:42:00,Credit Card,Success,356.03
PAY700017,ORD500017,2023-01-01 21:06:00,Credit Card,Success,409.6
PAY700018,ORD500018,2023-01-01 21:55:00,Buy Now Pay Later,Failed,99.02
PAY700019,ORD500019,2023-01-02 01:39:00,Buy Now Pay Later,Success,260.61
PAY700020,ORD500020,2023-01-02 06:12:00,Credit Card,Success,821.61
PAY700021,ORD500021,2023-01-02 06:16:00,Buy Now Pay Later,Success,53.34
PAY700022,ORD500022,2023-01-02 04:18:00,Credit Card,Failed,371.85
PAY700023,ORD500023,2023-01-02 04:00:00,PayPal,Success,128.51
PAY700024,ORD500024,2023-01-02 10:05:00,Credit Card,Success,239.25
PAY700025,ORD500025,2023-01-02 13:46:00,PayPal,Success,55.0
PAY700026,ORD500026,2023-01-02 11:10:00,Credit Card,Success,264.4
PAY700027,ORD500027,2023-01-02 10:18:00,PayPal,Failed,1152.53
PAY700028,ORD500028,2023-01-02 14:02:00,Debit Card,Refunded,375.5
PAY700029,ORD500029,2023-01-02 14:46:00,Buy Now Pay Later,Failed,90.87
PAY700030,ORD500030,2023-01-02 15:46:00,Credit Card,Success,300.04
PAY700031,ORD500031,2023-01-02 16:20:00,PayPal,Success,79.75
PAY700032,ORD500032,2023-01-02 13:58:00,Unknown,Failed,150.99
PAY700033,ORD500033,2023-01-02 15:17:00,PayPal,Failed,168.62
PAY700034,ORD500034,2023-01-02 16:30:00,Credit Card,Success,88.29
PAY700035,ORD500035,2023-01-02 14:35:00,Credit Card,Success,110.92
PAY700036,ORD500036,2023-01-02 16:57:00,Credit Card,Success,186.88
PAY700037,ORD500037,2023-01-02 22:29:00,Credit Card,Success,88.29
PAY700038,ORD500038,2023-01-03 04:45:00,Credit Card,Success,119.7
PAY700039,ORD500039,2023-01-03 05:48:00,Credit Card,Success,77.67
PAY700040,ORD500040,2023-01-03 03:15:00,PayPal,Success,467.43
PAY700041,ORD500041,2023-01-03 04:41:00,Credit Card,Success,84.99
PAY700042,ORD500042,2023-01-03 06:34:00,Credit Card,Success,40.81
PAY700043,ORD500043,2023-01-03 12:07:00,Credit Card,Success,251.83
PAY700044,ORD500044,2023-01-03 10:39:00,Gift Card,Success,324.5
PAY700045,ORD500045,2023-01-03 12:14:00,Buy Now Pay Later,Success,502.89
PAY700046,ORD500046,2023-01-03 16:51:00,Credit Card,Success,54.38
PAY700047,ORD500047,2023-01-03 14:05:00,PayPal,Success,73.03
PAY700048,ORD500048,2023-01-03 14:43:00,Credit Card,Success,40.89
PAY700049,ORD500049,2023-01-03 18:22:00,Credit Card,Failed,132.94
