return_id,order_id,product_id,return_date,return_reason,returned_quantity,refund_amount
RET900000,ORD500006,PROD1132,2023-01-27,No Longer Needed,1,71.99
RET900001,ORD500015,PROD1107,2023-01-13,Changed Mind,1,132.2
RET900002,ORD500036,PROD1191,2023-01-12,Size/Fit Issue,1,31.43
RET900003,ORD500072,PROD1218,2023-01-17,Size/Fit Issue,1,89.62
RET900004,ORD500072,PROD1068,2023-01-25,Defective/Damaged,1,72.86
RET900005,ORD500080,PROD1043,2023-01-17,Defective/Damaged,1,27.72
RET900006,ORD500085,PROD1233,2023-01-15,No Longer Needed,1,210.1
RET900007,ORD500120,PROD1107,2023-01-29,Not as Described,1,132.2
RET900008,ORD500123,PROD1259,2023-01-15,Defective/Damaged,1,76.04
RET900009,ORD500147,PROD1255,2023-01-23,Changed Mind,2,40.0
RET900010,ORD500150,PROD1079,2023-01-13,Not as Described,2,415.02
RET900011,ORD500161,PROD1156,2023-01-23,Not as Described,1,174.1
RET900012,ORD500174,PROD1165,2023-01-24,No Longer Needed,1,66.91
RET900013,ORD500187,PROD1085,2023-01-20,Not Specified,1,73.03
RET900014,ORD500262,PROD1258,2023-01-25,Size/Fit Issue,1,128.51
RET900015,ORD500293,PROD1213,2023-01-30,Better Price Found,1,130.86
RET900016,ORD500295,PROD1237,2023-01-27,Wrong Item Shipped,1,190.21
RET900017,ORD500301,PROD1107,2023-01-24,Defective/Damaged,1,132.2
RET900018,ORD500360,PROD1211,2023-02-13,Not as Described,1,58.9
RET900019,ORD500386,PROD1128,2023-02-09,No Longer Needed,1,211.71
RET900020,ORD500395,PROD1033,2023-01-25,Better Price Found,1,185.77
RET900021,ORD500407,PROD1020,2023-02-08,Not as Described,1,70.97
RET900022,ORD500415,PROD1206,2023-01-30,Defective/Damaged,1,159.99
RET900023,ORD500425,PROD1001,2023-02-03,No Longer Needed,1,89.0
RET900024,ORD500458,PROD1214,2023-01-26,Size/Fit Issue,2,241.4
RET900025,ORD500473,PROD1058,2023-02-18,No Longer Needed,1,46.18
RET900026,ORD500473,PROD1147,2023-02-08,Size/Fit Issue,1,42.77
RET900027,ORD500478,PROD1165,2023-02-15,No Longer Needed,3,200.73
RET900028,ORD500514,PROD1191,2023-01-26,Wrong Item Shipped,1,42.59
RET900029,ORD500532,PROD1003,2023-01-25,Wrong Item Shipped,1,88.29
RET900030,ORD500566,PROD1234,2023-02-12,Changed Mind,1,273.87
RET900031,ORD500651,PROD1143,2023-02-14,Not as Described,1,78.25
RET900032,ORD500651,PROD1169,2023-02-13,Not Specified,1,285.61
RET900033,ORD500664,PROD1158,2023-01-30,Size/Fit Issue,1,53.08
RET900034,ORD500676,PROD1230,2023-02-06,Not as Described,1,138.35
RET900035,ORD500678,PROD1158,2023-01-31,Not as Described,1,53.08
RET900036,ORD500680,PROD1152,2023-02-04,No Longer Needed,1,86.17
RET900037,ORD500716,PROD1090,2023-02-07,Defective/Damaged,1,149.74
RET900038,ORD500717,PROD1207,2023-02-26,Better Price Found,1,31.62
RET900039,ORD500761,PROD1075,2023-02-22,No Longer Needed,1,60.21
RET900040,ORD500787,PROD1249,2023-02-13,Defective/Damaged,1,79.75
RET900041,ORD500795,PROD1259,2023-02-19,Size/Fit Issue,1,77.67
RET900042,ORD500801,PROD1021,2023-02-20,Not as Described,1,78.92
RET900043,ORD500845,PROD1164,2023-02-20,Changed Mind,1,89.2
RET900044,ORD500848,PROD1224,2023-02-16,Changed Mind,1,256.54
RET900045,ORD500849,PROD1258,2023-02-13,Size/Fit Issue,1,128.51
RET900046,ORD500858,PROD1065,2023-03-03,Defective/Damaged,1,62.65
RET900047,ORD500862,PROD1055,2023-02-15,Defective/Damaged,1,56.59
RET900048,ORD500873,PROD1233,2023-02-28,Wrong Item Shipped,2,474.8
RET900049,ORD500895,PROD1119,2023-02-26,No Longer Needed,1,115.39
RET900050,ORD500899,PROD1165,2023-02-11,Defective/Damaged,1,66.91
RET900051,ORD500899,PROD1075,2023-02-20,Defective/Damaged,1,60.21
RET900052,ORD500901,PROD1199,2023-02-16,Defective/Damaged,1,183.07
RET900053,ORD500909,PROD1155,2023-02-18,Better Price Found,1,78.32
RET900054,ORD500922,PROD1165,2023-02-27,Better Price Found,1,66.91
RET900055,ORD500956,PROD1147,2023-02-19,No Longer Needed,1,20.0
RET900056,ORD500970,PROD1007,2023-03-04,Better Price Found,1,260.61
RET900057,ORD500975,PROD1253,2023-02-27,Not as Described,2,54.27
RET900058,ORD500978,PROD1064,2023-02-14,Wrong Item Shipped,1,53.79
RET900059,ORD501002,PROD1135,2023-02-13,Changed Mind,1,109.82
RET900060,ORD501012,PROD1119,2023-02-20,Size/Fit Issue,1,115.39
RET900061,ORD501016,PROD1253,2023-03-01,Not as Described,1,36.57
RET900062,ORD501029,PROD1177,2023-02-15,Not as Described,1,324.5
RET900063,ORD501044,PROD1090,2023-02-17,Changed Mind,1,149.74
RET900064,ORD501054,PROD1179,2023-02-15,Not as Described,1,185.55
RET900065,ORD501056,PROD1067,2023-02-19,Not as Described,1,53.75
RET900066,ORD501090,PROD1203,2023-03-11,Size/Fit Issue,1,111.22
RET900067,ORD501122,PROD1001,2023-03-08,No Longer Needed,1,89.0
RET900068,ORD501124,PROD1179,2023-03-07,Not as Described,2,371.1
RET900069,ORD501146,PROD1258,2023-03-09,Not as Described,1,128.51
RET900070,ORD501154,PROD1191,2023-02-25,Changed Mind,1,39.95
RET900071,ORD501157,PROD1001,2023-03-12,Wrong Item Shipped,1,89.0
RET900072,ORD501163,PROD1127,2023-03-03,Wrong Item Shipped,1,60.63
RET900073,ORD501164,PROD1030,2023-02-15,Better Price Found,1,60.2
RET900074,ORD501174,PROD1258,2023-03-13,Not as Described,1,128.51
RET900075,ORD501188,PROD1167,2023-03-15,Not as Described,1,16.48
RET900076,ORD501194,PROD1001,2023-03-13,Not as Described,1,86.77
RET900077,ORD501202,PROD1147,2023-03-16,Better Price Found,1,56.65
RET900078,ORD501245,PROD1140,2023-03-03,Not as Described,1,98.1
RET900079,ORD501252,PROD1147,2023-03-08,No Longer Needed,3,169.95
