customer_id,last_order_date,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,segment,customer_segment,acquisition_channel
CUST100000,2025-04-09 02:50:00,3,203.60044,266,3,3,2,332,At Risk,Mainstream,Email
CUST100001,2025-09-20 07:09:00,1,119.55689999999998,102,4,1,1,411,New Customers,Budget,Email
CUST100002,2025-05-20 15:42:00,2,103.30016,225,3,2,1,321,Others,Budget,Organic Search
CUST100005,2025-03-12 04:03:00,4,618.8199999999999,294,3,4,4,344,Loyal Customers,Budget,Organic Search
CUST100006,2025-02-23 02:31:00,2,207.79000000000002,311,3,2,2,322,Others,Mainstream,Affiliate
CUST100007,2025-04-22 12:36:00,3,496.22,253,3,3,3,333,At Risk,Premium,Affiliate
CUST100008,2024-02-08 20:55:00,2,1618.21,692,1,2,5,125,Lost Customers,Mainstream,Social Media
CUST100009,2025-09-28 08:55:00,3,454.0204,94,4,3,3,433,Potential Loyalists,Mainstream,Social Media
CUST100010,2024-01-14 12:45:00,3,650.26,717,1,3,4,134,Others,Mainstream,Paid Search
CUST100011,2025-11-01 22:48:00,5,1628.18948,60,4,4,5,445,Champions,Premium,Email
CUST100012,2025-09-22 02:16:00,7,1301.89777,100,4,5,5,455,Champions,Mainstream,Paid Search
CUST100013,2025-11-12 02:31:00,2,572.27,49,5,2,4,524,Potential Loyalists,Budget,Organic Search
CUST100014,2025-11-11 05:38:00,4,588.82438,50,5,4,4,544,Champions,Budget,Organic Search
CUST100015,2024-11-30 10:11:00,1,172.69892,396,2,1,2,212,Lost Customers,Budget,Direct
CUST100016,2024-11-03 19:07:00,3,412.32,423,2,3,3,233,At Risk,Budget,Affiliate
CUST100018,2025-12-22 12:31:00,11,1624.30907,9,5,5,5,555,Champions,Budget,Referral
CUST100019,2024-03-15 03:41:00,1,61.33,656,1,1,1,111,Lost Customers,Mainstream,Organic Search
CUST100020,2025-07-24 14:51:00,1,121.73,160,4,1,1,411,New Customers,Mainstream,Paid Search
CUST100021,2025-12-23 16:25:00,7,1301.03,8,5,5,5,555,Champions,Mainstream,Social Media
CUST100022,2025-12-20 15:24:00,43,7461.58148,11,5,5,5,555,Champions,Budget,Organic Search
CUST100023,2025-11-06 23:24:00,3,571.6305,54,4,3,4,434,Potential Loyalists,Budget,Email
CUST100024,2025-09-27 11:18:00,1,439.19648,95,4,1,3,413,New Customers,Budget,Organic Search
CUST100025,2025-08-06 07:01:00,4,436.18306,147,4,4,3,443,Loyal Customers,Premium,Direct
CUST100027,2023-10-15 00:22:00,1,100.8,808,1,1,1,111,Lost Customers,Budget,Organic Search
CUST100028,2025-12-07 16:11:00,6,815.55345,24,5,5,4,554,Champions,Budget,Referral
