event_id,customer_id,session_id,event_timestamp,device,traffic_source,event_type,product_id
EVT00000000,CUST105022,740175f4-164,2024-07-29 15:27:00,Mobile,Direct,site_visit,
EVT00000001,CUST105022,740175f4-164,2024-07-29 15:29:00,Mobile,Direct,product_view,PROD1006
EVT00000002,CUST105022,740175f4-164,2024-07-29 15:31:00,Unknown,Direct,add_to_cart,PROD1101
EVT00000003,CUST105022,740175f4-164,2024-07-29 15:34:00,Mobile,Direct,checkout_start,PROD1220
EVT00000004,CUST105022,740175f4-164,2024-07-29 15:37:00,Mobile,Direct,purchase,PROD1089
EVT00000005,CUST103361,adc74178-6de,2025-09-11 18:08:00,Tablet,Email,site_visit,
EVT00000006,CUST103361,adc74178-6de,2025-09-11 18:11:00,Tablet,Email,product_view,PROD1070
EVT00000007,CUST101161,5f33d759-e5c,2025-07-14 06:37:00,Desktop,Paid Search,site_visit,
EVT00000008,CUST101161,5f33d759-e5c,2025-07-14 06:41:00,Desktop,Paid Search,product_view,PROD1244
EVT00000009,CUST104420,1a84d3a8-126,2025-10-15 18:10:00,Mobile,Paid Search,site_visit,
EVT00000010,CUST104420,1a84d3a8-126,2025-10-15 18:14:00,Mobile,Paid Search,product_view,PROD1154
EVT00000011,CUST104420,1a84d3a8-126,2025-10-15 18:18:00,Mobile,Paid Search,add_to_cart,PROD1018
EVT00000012,CUST104420,1a84d3a8-126,2025-10-15 18:21:00,Mobile,Paid Search,checkout_start,PROD1112
EVT00000013,,2974356a-a88,2025-11-07 17:39:00,Desktop,Paid Search,site_visit,
EVT00000014,,2974356a-a88,2025-11-07 17:42:00,Desktop,Paid Search,product_view,PROD1188
EVT00000015,CUST101671,12cdc45e-f79,2025-03-24 00:39:00,Desktop,Organic Search,site_visit,
EVT00000016,CUST102520,d3914fa4-2c6,2024-12-21 19:01:00,Tablet,Email,site_visit,
EVT00000017,CUST102520,d3914fa4-2c6,2024-12-21 19:02:00,Tablet,Email,product_view,PROD1087
EVT00000018,CUST104467,53b8c97f-b39,2024-08-14 00:20:00,Desktop,Social Media,site_visit,
EVT00000019,CUST104467,53b8c97f-b39,2024-08-14 00:25:00,Desktop,Social Media,product_view,PROD1151
EVT00000020,CUST101251,38761dab-ee9,2025-12-25 19:19:00,Mobile,Social Media,site_visit,
EVT00000021,CUST102101,04b0cf31-f1a,2023-11-26 18:41:00,Tablet,Direct,site_visit,
EVT00000022,CUST102101,04b0cf31-f1a,2023-11-26 18:45:00,Tablet,Direct,product_view,PROD1184
EVT00000023,CUST102338,360b6243-a1a,2023-09-23 00:34:00,Tablet,Paid Search,site_visit,
EVT00000024,CUST102338,360b6243-a1a,2023-09-23 00:38:00,Tablet,Paid Search,product_view,PROD1177
EVT00000025,,81e45907-808,2025-03-06 13:37:00,Mobile,Social Media,site_visit,
EVT00000026,CUST102768,98def2c3-f4d,2023-08-21 00:24:00,Desktop,Direct,site_visit,
EVT00000027,CUST104417,b13c821d-741,2023-08-25 02:06:00,Mobile,Direct,site_visit,
EVT00000028,CUST104417,b13c821d-741,2023-08-25 02:07:00,Mobile,Direct,product_view,PROD1196
EVT00000029,CUST104417,b13c821d-741,2023-08-25 02:08:00,Mobile,Direct,add_to_cart,PROD1004
EVT00000030,,e0d261f7-745,2023-09-27 05:28:00,Desktop,Referral,site_visit,
EVT00000031,,e0d261f7-745,2023-09-27 05:30:00,Desktop,Referral,product_view,PROD1111
EVT00000032,,e0d261f7-745,2023-09-27 05:35:00,Desktop,Referral,add_to_cart,PROD1240
EVT00000033,,e0d261f7-745,2023-09-27 05:36:00,Desktop,Referral,checkout_start,PROD1038
EVT00000034,,e0d261f7-745,2023-09-27 05:38:00,Desktop,Referral,purchase,PROD1159
EVT00000035,,f9f8561d-df9,2023-01-13 04:32:00,Mobile,Paid Search,site_visit,
EVT00000036,,f9f8561d-df9,2023-01-13 04:34:00,Mobile,Paid Search,product_view,PROD1004
EVT00000037,,4fd30880-b98,2023-11-22 08:47:00,Mobile,Direct,site_visit,
EVT00000038,,4fd30880-b98,2023-11-22 08:51:00,Mobile,Direct,product_view,PROD1234
EVT00000039,,4fd30880-b98,2023-11-22 08:55:00,Mobile,Direct,add_to_cart,PROD1088
EVT00000040,,4fd30880-b98,2023-11-22 09:00:00,Mobile,Direct,checkout_start,PROD1035
EVT00000041,CUST101262,35d86cae-2c2,2024-06-07 01:12:00,Mobile,Email,site_visit,
EVT00000042,CUST101645,984ec15f-387,2024-09-15 07:51:00,Desktop,Paid Search,site_visit,
EVT00000043,CUST101645,984ec15f-387,2024-09-15 07:52:00,Desktop,Paid Search,product_view,PROD1156
EVT00000044,CUST103688,5e53a9c4-528,2025-06-27 14:08:00,Mobile,Organic Search,site_visit,
EVT00000045,CUST103688,5e53a9c4-528,2025-06-27 14:09:00,Mobile,Organic Search,product_view,PROD1017
EVT00000046,,f90d2f75-40a,2023-05-05 18:10:00,Mobile,Email,site_visit,
EVT00000047,CUST100577,ee880a80-f04,2024-09-18 08:59:00,Desktop,Paid Search,site_visit,
EVT00000048,CUST100577,ee880a80-f04,2024-09-18 09:02:00,Desktop,Paid Search,product_view,PROD1062
EVT00000049,,5d9dbfc0-36e,2024-12-03 16:03:00,Mobile,Organic Search,site_visit,
EVT00000050,CUST104047,bbfadf8c-8eb,2023-05-13 23:39:00,Mobile,Email,site_visit,
EVT00000051,CUST104047,bbfadf8c-8eb,2023-05-13 23:40:00,Mobile,Email,product_view,PROD1013
EVT00000052,CUST100374,0bc2804e-e4b,2025-04-23 21:20:00,Mobile,Direct,site_visit,
EVT00000053,CUST100374,0bc2804e-e4b,2025-04-23 21:23:00,Mobile,Direct,product_view,PROD1209
EVT00000054,CUST100167,caa5705b-372,2024-08-01 19:02:00,Mobile,Social Media,site_visit,
EVT00000055,CUST100167,caa5705b-372,2024-08-01 19:03:00,Mobile,Social Media,product_view,PROD1236
EVT00000056,,24f72846-639,2024-01-23 02:09:00,Mobile,Organic Search,site_visit,
EVT00000057,CUST102614,a7d53f3c-803,2025-11-28 00:51:00,Desktop,Email,site_visit,
EVT00000058,CUST104518,9fd5e8b4-8f7,2023-12-21 18:07:00,Desktop,Organic Search,site_visit,
EVT00000059,CUST104518,9fd5e8b4-8f7,2023-12-21 18:08:00,Desktop,Organic Search,product_view,PROD1122
EVT00000060,,f53ef97f-de1,2025-04-15 18:02:00,Desktop,Email,site_visit,
EVT00000061,,f53ef97f-de1,2025-04-15 18:04:00,Desktop,Email,product_view,PROD1014
EVT00000062,,f53ef97f-de1,2025-04-15 18:08:00,Desktop,Email,add_to_cart,PROD1242
EVT00000063,,f53ef97f-de1,2025-04-15 18:10:00,Desktop,Email,checkout_start,PROD1190
EVT00000064,,f53ef97f-de1,2025-04-15 18:11:00,Desktop,Email,purchase,PROD1137
EVT00000065,CUST101449,a71a59aa-530,2023-02-27 02:24:00,Mobile,Social Media,site_visit,
EVT00000066,,b0cf7730-1a9,2025-12-14 14:30:00,Mobile,Social Media,site_visit,
EVT00000067,,b0cf7730-1a9,2025-12-14 14:34:00,Mobile,Social Media,product_view,PROD1127
EVT00000068,CUST105554,287adaab-0e4,2023-11-30 18:10:00,Desktop,Referral,site_visit,
EVT00000069,CUST105554,287adaab-0e4,2023-11-30 18:14:00,Desktop,Referral,product_view,PROD1243
EVT00000070,CUST105554,287adaab-0e4,2023-11-30 18:17:00,Desktop,Referral,add_to_cart,PROD1154
EVT00000071,CUST103169,82d775b4-7eb,2024-03-15 04:48:00,Mobile,Direct,site_visit,
EVT00000072,CUST103169,82d775b4-7eb,2024-03-15 04:51:00,Mobile,Direct,product_view,PROD1226
EVT00000073,CUST106245,02646b4d-a52,2025-06-24 09:59:00,Desktop,Organic Search,site_visit,
EVT00000074,CUST106245,02646b4d-a52,2025-06-24 10:04:00,Desktop,Organic Search,product_view,PROD1229
EVT00000075,CUST106245,02646b4d-a52,2025-06-24 10:05:00,Desktop,Organic Search,add_to_cart,PROD1241
EVT00000076,CUST102736,e6ec4bac-9b5,2025-05-02 03:42:00,Tablet,Referral,site_visit,
EVT00000077,CUST102736,e6ec4bac-9b5,2025-05-02 03:43:00,Tablet,Referral,product_view,PROD1147
EVT00000078,CUST103703,2f436a2a-e39,2025-05-21 19:49:00,Mobile,Organic Search,site_visit,
EVT00000079,CUST103703,2f436a2a-e39,2025-05-21 19:52:00,Mobile,Organic Search,product_view,PROD1231
EVT00000080,CUST102244,17f7490a-6d4,2024-10-14 05:43:00,Desktop,Paid Search,site_visit,
EVT00000081,CUST105079,889c69de-07c,2023-10-29 07:15:00,Mobile,Paid Search,site_visit,
EVT00000082,CUST100306,feb44d88-270,2025-03-09 12:23:00,Tablet,Organic Search,site_visit,
